,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
115,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.13,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,傳產環境 公司整個是...,不太適合年輕人吧 整...
116,管理師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.09,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,2,4,"辦公室老舊
開放式...","同事很多老人
氣氛..."
117,生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.03.06,全職,苗栗,45-46k,720-730k,120k,38k,18k,12k,想換工作了,常常加班,10 hr,3,5,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情
118,工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.02.28,全職,苗栗,43-44k,680-690k,86k,86k,,,有苦說不出,常常加班,9 hr,1,10,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來"
119,品檢技術員,裕隆集團_裕隆汽車製造股份有限公司,2022.11.23,全職,苗栗,31-32k,560-570k,150k,40k,,,有苦說不出,很少加班,9 hr,8,10,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。
120,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.09.20,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,1,6,"工程師做PM的工作,...",公司架構無產銷人發財...
121,銷售員,裕隆集團_裕隆汽車製造股份有限公司,2022.09.01,全職,臺北,,,,,,,平常心,很少加班,8 hr,1,1,在信義區的汽車銷售中...,對汽車銷售有興趣的可...
122,工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.31,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,6,裕隆汽車本質就是代工...,年輕人不要來，這裡沒...
123,設備開發,裕隆集團_裕隆汽車製造股份有限公司,2022.08.17,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,3,工作環境依不同廠區會...,面試要考英文~需要高...
124,研發技術軟體工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.04,全職,苗栗,,,,,,,還算愉快,常常加班,9 hr,1,2,"醫材研發
機構控制...","工作環境不太優
工..."
125,工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.21,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,1,1,工作還算輕鬆，整年大...,與主管間的關係要維持...
126,製程改善工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.19,全職,苗栗,,,,,,,想換工作了,準時上下班,8 hr,1,5,"自己找課題
出事自...","混日子可以
想學東..."
127,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.18,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,5,負責引擎生產的製程改...,"很台商
要很會做報..."
128,品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.29,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,10,10,任何跟車輛品質相關異...,近幾年裕隆轉變很大....
129,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.22,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,生技分三個部門 動力...,年薪不錯 基本上有1...
130,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.13,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,傳產環境 公司整個是...,不太適合年輕人吧 整...
131,管理師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.09,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,2,4,"辦公室老舊
開放式...","同事很多老人
氣氛..."
132,出納專員,裕隆集團_裕隆日產汽車股份有限公司,2022.11.03,全職,臺中,32-33k,380-390k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,"1. 薪資，面試時說碩士高於32000，因為32000在公司是大學畢業生的價碼，結果拿到薪資單一樣只有32000左右，頂多33000。
2. 加班，薪資沒增加就算了，但上班要提早去打掃和點名，下班工作沒做完要先打卡，做完才能走，如果你直接走，隔天一定會被唸。基本上每天都會延遲下班。
3.不能有問題，要求新人教一次就要融會貫通，問問題一定會被唸，動作比較慢也是。
4.被霸凌，新人一犯錯到最後直接罵，什麼都罵，發現你學比較慢就對你貼上不認真的標籤，從此沒好日子過，基本上每天都會被罵，就算撐到下午，一樣會找事情電你。
5.有問題不聯絡你，打電話直接到家裡，這點我真的傻爆眼，我接起來跟我說要找X先生（我爸的名字），結果是講有關我的事情，我爸直接請他打給我。
6.工作雜到不行，業助的工作也是你的工作。
7.考核會出鳥題目，各種刁鑽狀況，你應付得卡卡一樣被唸，前輩會演奧客來讓你考試。考當日帳款確認也會故意把帳弄亂，讓你在短時間內要把帳抓出來整理清楚，一樣太慢或是找主管討論會被唸。
8.交接根本不是交接，最後一天要歸還東西了，還要你繼續把交接表上列的工作做完才能走，請問這叫什麼交接？都做完了還交接個毛？導致我隔天還要再跑一趟辦程序。
9.主管休假還會打電話到公司電你，沒接到他的一通電話就直接爆氣說為什麼掛他電話？上班根本很少用手機，打line沒接到不知道在氣什麼...","如果你夠奴再來,基本上每天都要加班,沒加班主管還會跟同事私底下抱怨你,請假也會被講壞話,就是一個很表面的公司試好聲好氣,取後各種刁難,職也不會放過你,壓榨到最
後一刻,表根本沒有什麼工作需要交接的。
有問題跟中階主管反應也沒用,絕對挺資深專員,甚至我離職想當面道謝也放我鴿子,說離手
續當天可以直接去位找他,結果他休假,明明前一天還有通電話確認。
總之中部據點絕對不要來!"
133,採購工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.08.12,全職,苗栗,,,,,,,還算愉快,準時上下班,8 hr,6,6,半日商公司，有日文翻...,對車子有熱忱可以加入...
134,財務管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.31,全職,臺北,,,,,,,有苦說不出,偶爾加班,10 hr,2,4,一般財務會計相關工作...,考慮發展性跟快速賺錢...
135,機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.19,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作內容算是假RD，...,裕隆的經營階層，感受...
136,專案管理工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.02,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,9,1. 工作內容：新車...,1. 國產車市佔率逐...
137,研發工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.25,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,1,針對台灣市場台灣法規...,"好山好水
適合平淡..."
138,車體設計工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,3,4,1. 新車開發：內外...,公司穩定，且工作步調...
139,管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.01.15,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,5,8,高聳垂直化組織階級、...,同事間相處環境融洽。...
140,商品企劃,裕隆集團_裕隆日產汽車股份有限公司,2022.01.06,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,6,6,"主要工作內容
市場...",對汽車產業有興趣的可...
141,生產技術工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.10.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,8,10,1）新車生產設備導入...,汽車產業算傳產福利較...
142,製程設備工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.30,全職,臺南,,,,,,,想換工作了,很少加班,9 hr,1,1,採取師徒制，一個學長...,如果遇到這樣的學長，...
143,管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.14,全職,苗栗,,,,,,,還算愉快,賣肝拼經濟,10 hr,1,5,上班氣氛算是輕鬆，同...,上班需要注意穿著，公...
144,經營管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.13,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,主要負責董事會及審委...,英文能力要夠好，因為...
145,機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.08.17,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,4,4,工作環境尚可，上下班...,剛出社會求職者需要有...
146,商品企劃管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.06.13,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,2,2,工作項目:車型商品規...,三義生活會有點無聊，...
147,出納專員,裕隆集團_裕隆日產汽車股份有限公司,2022.11.03,全職,臺中,32-33k,380-390k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,"1. 薪資，面試時說碩士高於32000，因為32000在公司是大學畢業生的價碼，結果拿到薪資單一樣只有32000左右，頂多33000。
2. 加班，薪資沒增加就算了，但上班要提早去打掃和點名，下班工作沒做完要先打卡，做完才能走，如果你直接走，隔天一定會被唸。基本上每天都會延遲下班。
3.不能有問題，要求新人教一次就要融會貫通，問問題一定會被唸，動作比較慢也是。
4.被霸凌，新人一犯錯到最後直接罵，什麼都罵，發現你學比較慢就對你貼上不認真的標籤，從此沒好日子過，基本上每天都會被罵，就算撐到下午，一樣會找事情電你。
5.有問題不聯絡你，打電話直接到家裡，這點我真的傻爆眼，我接起來跟我說要找X先生（我爸的名字），結果是講有關我的事情，我爸直接請他打給我。
6.工作雜到不行，業助的工作也是你的工作。
7.考核會出鳥題目，各種刁鑽狀況，你應付得卡卡一樣被唸，前輩會演奧客來讓你考試。考當日帳款確認也會故意把帳弄亂，讓你在短時間內要把帳抓出來整理清楚，一樣太慢或是找主管討論會被唸。
8.交接根本不是交接，最後一天要歸還東西了，還要你繼續把交接表上列的工作做完才能走，請問這叫什麼交接？都做完了還交接個毛？導致我隔天還要再跑一趟辦程序。
9.主管休假還會打電話到公司電你，沒接到他的一通電話就直接爆氣說為什麼掛他電話？上班根本很少用手機，打line沒接到不知道在氣什麼...","如果你夠奴再來,基本上每天都要加班,沒加班主管還會跟同事私底下抱怨你,請假也會被講壞話,就是一個很表面的公司試好聲好氣,取後各種刁難,職也不會放過你,壓榨到最
後一刻,表根本沒有什麼工作需要交接的。
有問題跟中階主管反應也沒用,絕對挺資深專員,甚至我離職想當面道謝也放我鴿子,說離手
續當天可以直接去位找他,結果他休假,明明前一天還有通電話確認。
總之中部據點絕對不要來!"
148,採購工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.08.12,全職,苗栗,,,,,,,還算愉快,準時上下班,8 hr,6,6,半日商公司，有日文翻...,對車子有熱忱可以加入...
149,財務管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.31,全職,臺北,,,,,,,有苦說不出,偶爾加班,10 hr,2,4,一般財務會計相關工作...,考慮發展性跟快速賺錢...
150,機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.19,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作內容算是假RD，...,裕隆的經營階層，感受...
151,專案管理工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.02,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,9,1. 工作內容：新車...,1. 國產車市佔率逐...
152,研發工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.25,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,1,針對台灣市場台灣法規...,"好山好水
適合平淡..."
153,車體設計工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,3,4,1. 新車開發：內外...,公司穩定，且工作步調...
154,管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.01.15,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,5,8,高聳垂直化組織階級、...,同事間相處環境融洽。...
155,商品企劃,裕隆集團_裕隆日產汽車股份有限公司,2022.01.06,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,6,6,"主要工作內容
市場...",對汽車產業有興趣的可...
156,生產技術工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.10.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,8,10,1）新車生產設備導入...,汽車產業算傳產福利較...
157,製程設備工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.30,全職,臺南,,,,,,,想換工作了,很少加班,9 hr,1,1,採取師徒制，一個學長...,如果遇到這樣的學長，...
158,管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.14,全職,苗栗,,,,,,,還算愉快,賣肝拼經濟,10 hr,1,5,上班氣氛算是輕鬆，同...,上班需要注意穿著，公...
159,經營管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.13,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,主要負責董事會及審委...,英文能力要夠好，因為...
160,機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.08.17,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,4,4,工作環境尚可，上下班...,剛出社會求職者需要有...
161,商品企劃管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.06.13,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,2,2,工作項目:車型商品規...,三義生活會有點無聊，...
162,出納專員,裕隆集團_裕隆日產汽車股份有限公司,2022.11.03,全職,臺中,32-33k,380-390k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,"1. 薪資，面試時說碩士高於32000，因為32000在公司是大學畢業生的價碼，結果拿到薪資單一樣只有32000左右，頂多33000。
2. 加班，薪資沒增加就算了，但上班要提早去打掃和點名，下班工作沒做完要先打卡，做完才能走，如果你直接走，隔天一定會被唸。基本上每天都會延遲下班。
3.不能有問題，要求新人教一次就要融會貫通，問問題一定會被唸，動作比較慢也是。
4.被霸凌，新人一犯錯到最後直接罵，什麼都罵，發現你學比較慢就對你貼上不認真的標籤，從此沒好日子過，基本上每天都會被罵，就算撐到下午，一樣會找事情電你。
5.有問題不聯絡你，打電話直接到家裡，這點我真的傻爆眼，我接起來跟我說要找X先生（我爸的名字），結果是講有關我的事情，我爸直接請他打給我。
6.工作雜到不行，業助的工作也是你的工作。
7.考核會出鳥題目，各種刁鑽狀況，你應付得卡卡一樣被唸，前輩會演奧客來讓你考試。考當日帳款確認也會故意把帳弄亂，讓你在短時間內要把帳抓出來整理清楚，一樣太慢或是找主管討論會被唸。
8.交接根本不是交接，最後一天要歸還東西了，還要你繼續把交接表上列的工作做完才能走，請問這叫什麼交接？都做完了還交接個毛？導致我隔天還要再跑一趟辦程序。
9.主管休假還會打電話到公司電你，沒接到他的一通電話就直接爆氣說為什麼掛他電話？上班根本很少用手機，打line沒接到不知道在氣什麼...","如果你夠奴再來,基本上每天都要加班,沒加班主管還會跟同事私底下抱怨你,請假也會被講壞話,就是一個很表面的公司試好聲好氣,取後各種刁難,職也不會放過你,壓榨到最
後一刻,表根本沒有什麼工作需要交接的。
有問題跟中階主管反應也沒用,絕對挺資深專員,甚至我離職想當面道謝也放我鴿子,說離手
續當天可以直接去位找他,結果他休假,明明前一天還有通電話確認。
總之中部據點絕對不要來!"
